run_id,benchmark,kernel,group,arm,model,class,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
e2c_ab_3,tsvc/s254,s254,,full_b1,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,3.543,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,full_b1,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,3.506,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,full_b1,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,1.491,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,full_b1,claude-haiku-4-5-20251001,R,4,0,,,,FASTER,3.515,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,full_b1,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,3.448,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,3.418,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,3.57,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,3.301,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence,claude-haiku-4-5-20251001,R,4,0,,,,FASTER,3.475,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,3.575,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence_b1,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,2.695,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence_b1,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,2.657,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence_b1,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,3.425,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence_b1,claude-haiku-4-5-20251001,R,4,0,,,,FASTER,3.407,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,no_evidence_b1,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,3.295,,,1,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_dp,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_dp,claude-haiku-4-5-20251001,R,2,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_dp,claude-haiku-4-5-20251001,R,3,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_dp,claude-haiku-4-5-20251001,R,4,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_dp,claude-haiku-4-5-20251001,R,5,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_full,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_full,claude-haiku-4-5-20251001,R,2,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_full,claude-haiku-4-5-20251001,R,3,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_full,claude-haiku-4-5-20251001,R,4,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_full,claude-haiku-4-5-20251001,R,5,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_no_evidence,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_no_evidence,claude-haiku-4-5-20251001,R,2,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_no_evidence,claude-haiku-4-5-20251001,R,3,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_no_evidence,claude-haiku-4-5-20251001,R,4,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s254,s254,,twin_no_evidence,claude-haiku-4-5-20251001,R,5,0,,,,BROKEN,,,,,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,full_b1,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,2.734,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,full_b1,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,2.767,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,full_b1,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,3.472,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,full_b1,claude-haiku-4-5-20251001,R,4,0,,,,FASTER,3.325,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,full_b1,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,2.572,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,3.675,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,2.612,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,2.517,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence,claude-haiku-4-5-20251001,R,4,0,,,,FASTER,2.347,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,1.427,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence_b1,claude-haiku-4-5-20251001,R,1,0,,,,FASTER,2.55,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence_b1,claude-haiku-4-5-20251001,R,2,0,,,,FASTER,3.528,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence_b1,claude-haiku-4-5-20251001,R,3,0,,,,FASTER,2.17,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence_b1,claude-haiku-4-5-20251001,R,4,0,,,,FASTER,3.503,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,no_evidence_b1,claude-haiku-4-5-20251001,R,5,0,,,,FASTER,2.774,,,1,1,no-baseline
e2c_ab_3,tsvc/s255,s255,,twin_dp,claude-haiku-4-5-20251001,R,1,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s255,s255,,twin_dp,claude-haiku-4-5-20251001,R,2,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s255,s255,,twin_dp,claude-haiku-4-5-20251001,R,3,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s255,s255,,twin_dp,claude-haiku-4-5-20251001,R,4,0,,,,BROKEN,,,,,0,no-baseline
e2c_ab_3,tsvc/s255,s255,,twin_dp,claude-haiku-4-5-20251001,R,5,0,,,,BROKEN,,,,,0,no-baseline
