run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,speed_check_off,refresh_fast,refresh_full,refresh_fallback,runtime_remeasurements,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T6,program_speedup_T6,speedup_T12,program_speedup_T12
e1_r_a,burkardt/md,md,B,default,claude-haiku-4-5-20251001,1,no-change,1.0,1.6032,1.568821,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,7,0,0,1,True,,158,71137,595666,0.6328,711.8,13,2,4,False,0,4,0,4,2,1980.6,34.5,27.01,11,4514.9375,6072.8798828125,2026-09-21T16:13:11,2026-09-21T16:46:46,STANDARD,True,True,0.01,-DSTANDARD_DATASET,1.0,0.999,1.0,0.999
e1_r_a,burkardt/md,md,B,default,claude-haiku-4-5-20251001,2,no-change,1.006,1.5967,1.561779,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,5,0,0,1,True,,186,45223,866112,0.4815,469.0,12,0,2,False,0,2,0,2,2,1670.0,34.3,27.01,11,6201.4150390625,2232.43798828125,2026-09-21T16:46:47,2026-09-21T17:15:11,STANDARD,True,True,0.01,-DSTANDARD_DATASET,1.0,1.0,1.006,1.006
e1_r_a,burkardt/md,md,B,default,claude-haiku-4-5-20251001,3,no-change,0.997,1.5862,1.55298,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,11,0,0,1,True,,374,100988,2222792,1.0639,929.4,17,6,7,False,0,7,0,7,1,2335.9,34.2,27.01,11,2232.43798828125,2722.58935546875,2026-09-21T17:15:12,2026-09-21T17:54:42,STANDARD,True,True,0.01,-DSTANDARD_DATASET,0.996,0.996,0.997,0.997
e1_r_a,burkardt/md,md,B,default,claude-haiku-4-5-20251001,4,no-change,1.002,1.5998,1.565512,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,10,0,0,1,True,,310,89446,1457686,0.886,937.9,16,5,7,False,0,7,0,7,2,2393.9,34.4,27.01,11,2722.58935546875,2442.5654296875,2026-09-21T17:54:42,2026-09-21T18:35:10,STANDARD,True,True,0.01,-DSTANDARD_DATASET,1.002,1.002,1.001,1.001
e1_r_a,burkardt/md,md,B,default,claude-haiku-4-5-20251001,5,no-change,1.007,1.5979,1.563395,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,10,0,0,1,True,,236,70887,889817,0.6902,756.5,16,6,7,False,0,7,0,7,1,2203.9,34.2,27.01,11,2442.5654296875,2588.19287109375,2026-09-21T18:35:11,2026-09-21T19:12:29,STANDARD,True,True,0.01,-DSTANDARD_DATASET,1.004,1.004,1.007,1.008
e1_r_a,burkardt/md,md,B,discopop_gate,claude-haiku-4-5-20251001,1,no-change,1.003,1.5979,1.563199,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,5,0,0,False,0,0,0,0,0,708.3,34.4,27.01,11,2865.322265625,6148.3564453125,2026-09-21T15:11:13,2026-09-21T15:23:36,STANDARD,True,True,0.01,-DSTANDARD_DATASET,1.002,1.003,1.003,1.003
e1_r_a,burkardt/md,md,B,discopop_gate,claude-haiku-4-5-20251001,2,no-change,0.996,1.5939,1.560207,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,5,0,0,False,0,0,0,0,0,708.5,34.3,27.01,11,6148.3564453125,4342.56201171875,2026-09-21T15:23:37,2026-09-21T15:35:59,STANDARD,True,True,0.01,-DSTANDARD_DATASET,0.995,0.995,0.996,0.996
e1_r_a,burkardt/md,md,B,discopop_gate,claude-haiku-4-5-20251001,3,no-change,1.003,1.6025,1.568919,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,5,0,0,False,0,0,0,0,0,708.6,34.5,27.01,11,4342.56201171875,2531.86083984375,2026-09-21T15:36:00,2026-09-21T15:48:23,STANDARD,True,True,0.01,-DSTANDARD_DATASET,0.998,0.998,1.003,1.002
e1_r_a,burkardt/md,md,B,discopop_gate,claude-haiku-4-5-20251001,4,no-change,1.004,1.6031,1.568332,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,5,0,0,False,0,0,0,0,0,709.1,34.4,27.01,11,2531.86083984375,3372.9794921875,2026-09-21T15:48:23,2026-09-21T16:00:47,STANDARD,True,True,0.01,-DSTANDARD_DATASET,1.004,1.004,1.004,1.004
e1_r_a,burkardt/md,md,B,discopop_gate,claude-haiku-4-5-20251001,5,no-change,0.999,1.5991,1.565614,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,4,,0,0,0,1,True,,,,,,,5,0,0,False,0,0,0,0,0,708.6,34.5,27.01,11,3372.9794921875,4756.0576171875,2026-09-21T16:00:48,2026-09-21T16:13:11,STANDARD,True,True,0.01,-DSTANDARD_DATASET,0.999,0.998,0.998,0.997
