benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
rodinia-3.1/hotspot,serial,unpinned,-1,10,0,2.8859,2.862535576,3123.86 2384.27 1986.85
rodinia-3.1/hotspot,serial,4_lanes,2,1,0,,2.844599525,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,2,0,,2.861157301,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,3,0,,2.864547625,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,4,0,,2.848041073,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,5,0,,2.852924607,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,6,0,,2.873822763,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,7,0,,2.862793338,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,8,0,,2.898380565,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,9,0,,2.911293435,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,2,10,0,,2.889035543,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,1,0,,2.846763439,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,2,0,,2.860499446,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,3,0,,2.875555131,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,4,0,,2.852232491,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,5,0,,2.891390072,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,6,0,,2.856752295,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,7,0,,2.906360838,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,8,0,,2.87437225,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,9,0,,2.890892895,1895.48 2156.97 1923.86
rodinia-3.1/hotspot,serial,4_lanes,3,10,0,,2.919236721,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,1,1,0.0012,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,2,1,0.0015,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,3,1,0.0013,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,4,1,0.0014,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,5,1,0.0014,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,6,1,0.0014,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,7,1,0.0013,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,8,1,0.0006,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,9,1,0.0007,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,alone,0,10,1,0.0006,,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,unpinned,-1,1,0,1.4414,1.352898032,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,unpinned,-1,2,0,1.389,1.301860841,1895.48 2156.97 1923.86
polybench/jacobi-2d-imper,serial,unpinned,-1,3,0,1.4001,1.312351533,1744.10 2121.25 1913.55
