run_id,benchmark,kernel,group,arm,model,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
e10,polybench/lu,lu,C,speed_gate_small,claude-haiku-4-5-20251001,1,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,no-change,1.0,4.717,True,0,11,lost
e10,polybench/lu,lu,C,speed_gate_small,claude-haiku-4-5-20251001,2,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,no-change,1.0,4.717,True,0,9,lost
e10,polybench/lu,lu,C,speed_gate_small,claude-haiku-4-5-20251001,3,3,"parallel-not-faster,parallel-not-faster,parallel-not-faster",True,0.212,no-change,1.0,4.717,True,0,9,lost
e10,polybench/seidel-2d,seidel-2d,C,full,claude-haiku-4-5-20251001,1,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,full,claude-haiku-4-5-20251001,2,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,full,claude-haiku-4-5-20251001,3,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,speed_gate_large,claude-haiku-4-5-20251001,1,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,speed_gate_large,claude-haiku-4-5-20251001,2,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,speed_gate_large,claude-haiku-4-5-20251001,3,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,speed_gate_small,claude-haiku-4-5-20251001,1,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,speed_gate_small,claude-haiku-4-5-20251001,2,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
e10,polybench/seidel-2d,seidel-2d,C,speed_gate_small,claude-haiku-4-5-20251001,3,3,"no-change,no-change,no-change",False,1.0,no-change,1.0,1.0,True,0,12,neither
