run_id,benchmark,arm,model,repeat,phase,stage,count
e1_r_b,tsvc/s291,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s291,discopop_gate,claude-haiku-4-5-20251001,3,B,schedules,1
e1_r_b,tsvc/s291,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,2
e1_r_b,tsvc/s291,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s291,discopop_gate,claude-haiku-4-5-20251001,5,B,schedules,1
e1_r_b,tsvc/s292,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s292,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s292,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s292,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s292,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s292,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s292,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s292,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s292,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s292,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s293,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s293,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s293,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s293,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s293,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s293,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s293,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s293,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s293,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s293,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s331,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s331,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s331,default,claude-haiku-4-5-20251001,2,B,correctness,1
e1_r_b,tsvc/s331,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s331,default,claude-haiku-4-5-20251001,3,B,correctness,1
e1_r_b,tsvc/s331,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s331,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,1,B,correctness,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,2,B,correctness,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,3,B,correctness,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,4,B,correctness,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s331,discopop_gate,claude-haiku-4-5-20251001,5,B,correctness,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,1,B,schedules,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,2,B,correctness,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,3,B,schedules,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s341,default,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,1,B,schedules,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,2,B,schedules,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,3,B,schedules,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,4,B,tsan,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,4,B,schedules,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,5,B,tsan,1
e1_r_b,tsvc/s341,discopop_gate,claude-haiku-4-5-20251001,5,B,schedules,1
