benchmark,kind,line,function,applicable,pragma,in_main,in_excluded_function,on_scaffolding,end
polybench/2mm,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/2mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/2mm,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/2mm,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/2mm,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/2mm,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/2mm,task,340,polybench_timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,347
polybench/2mm,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/2mm,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/2mm,task,328,polybench_timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,334
polybench/2mm,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/2mm,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/2mm,task,318,polybench_prepare_instruments,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,323
polybench/2mm,task,117,main,False,['#pragma omp task'],True,True,False,118
polybench/2mm,task,117,main,False,['#pragma omp task'],True,True,False,118
polybench/2mm,task,117,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,False,118
polybench/2mm,task,133,main,False,['#pragma omp task'],True,True,True,133
polybench/2mm,task,133,main,False,['#pragma omp task'],True,True,True,133
polybench/2mm,task,133,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,133
polybench/2mm,task,128,main,False,['#pragma omp task'],True,True,False,128
polybench/2mm,task,128,main,False,['#pragma omp task'],True,True,False,128
polybench/2mm,task,128,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,False,128
polybench/2mm,task,131,main,False,['#pragma omp task'],True,True,True,131
polybench/2mm,task,131,main,False,['#pragma omp task'],True,True,True,131
polybench/2mm,task,131,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,131
polybench/2mm,task,132,main,False,['#pragma omp task'],True,True,True,132
polybench/2mm,task,132,main,False,['#pragma omp task'],True,True,True,132
polybench/2mm,task,132,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,132
polybench/2mm,task,133,main,False,['#pragma omp task'],True,True,True,133
polybench/2mm,task,133,main,False,['#pragma omp task'],True,True,True,133
polybench/2mm,task,133,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,133
polybench/2mm,task,134,main,False,['#pragma omp task'],True,True,True,134
polybench/2mm,task,134,main,False,['#pragma omp task'],True,True,True,134
polybench/2mm,task,134,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,134
polybench/2mm,task,135,main,False,['#pragma omp task'],True,True,True,135
polybench/2mm,task,135,main,False,['#pragma omp task'],True,True,True,135
polybench/2mm,task,135,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,135
polybench/2mm,task,131,main,False,['#pragma omp task'],True,True,True,131
polybench/2mm,task,131,main,False,['#pragma omp task'],True,True,True,131
polybench/2mm,task,131,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,131
polybench/2mm,task,134,main,False,['#pragma omp task'],True,True,True,134
polybench/2mm,task,134,main,False,['#pragma omp task'],True,True,True,134
polybench/2mm,task,134,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,134
polybench/2mm,task,132,main,False,['#pragma omp task'],True,True,True,132
polybench/2mm,task,132,main,False,['#pragma omp task'],True,True,True,132
polybench/2mm,task,132,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,132
polybench/2mm,task,135,main,False,['#pragma omp task'],True,True,True,135
polybench/2mm,task,135,main,False,['#pragma omp task'],True,True,True,135
polybench/2mm,task,135,main,True,"['#pragma omp parallel', '#pragma omp single']",True,True,True,135
polybench/2mm,do_all,131,main,True,#pragma omp parallel for,True,True,True,131
polybench/2mm,do_all,132,main,True,#pragma omp parallel for,True,True,True,132
polybench/2mm,do_all,133,main,True,#pragma omp parallel for,True,True,True,133
polybench/2mm,do_all,134,main,True,#pragma omp parallel for,True,True,True,134
polybench/2mm,do_all,135,main,True,#pragma omp parallel for,True,True,True,135
polybench/2mm,do_all,37,init_array,True,#pragma omp parallel for,False,True,False,37
