kernel,size,runs,timed_out,kernel_s_median,program_s_median,kernel_share,failure
burkardt/md,SMALL,3,False,0.151939665,0.1624292521737516,0.9354205782925675,
burkardt/md,STANDARD,3,False,1.519238366,1.553346836939454,0.9780419477940563,
npb/is,SMALL,3,False,0.011147043,0.08610682794824243,0.12945597074717846,
npb/is,STANDARD,3,False,0.107078294,0.6998966250102967,0.15299158500503512,
npb/is,LARGE,3,False,0.442253175,2.809825126081705,0.15739526666441375,
npb/is,EXTRALARGE,3,False,0.112091306,0.7156635760329664,0.15662569642196883,
npb/lu,SMALL,3,False,0.008202564,2.3463654508814216,0.003495859520484618,
npb/lu,STANDARD,3,False,0.061898051,15.70053583290428,0.003942416466467191,
npb/lu,LARGE,3,False,0.27380784,68.92392939887941,0.00397260925759772,
npb/lu,EXTRALARGE,3,False,0.062062751,15.630154941929504,0.003970706063412734,
npb/mg,SMALL,3,False,0.050152614,0.19449273613281548,0.25786368682556715,
npb/mg,STANDARD,3,False,0.454823267,1.6090464489534497,0.2826663377529123,
npb/mg,LARGE,3,False,2.127540026,3.286786040989682,0.6473010410374561,
polybench/2mm,SMALL,3,False,0.003947236,0.005181783111765981,0.76175245371371,
polybench/2mm,STANDARD,3,False,7.208422797,7.220610715914518,0.9983120653648236,
polybench/3mm,SMALL,3,False,0.004589199,0.005687536904588342,0.8068868962059355,
polybench/3mm,STANDARD,3,False,10.503422742,10.517222501104698,0.99868788940205,
polybench/adi,SMALL,3,False,0.016431346,0.019621186889708042,0.8374287494615721,
polybench/adi,STANDARD,3,False,0.355564585,0.3640711198095232,0.9766349640312757,
polybench/adi,LARGE,3,False,1.476171446,1.50844756513834,0.9786030884438598,
polybench/atax,SMALL,3,False,0.000156911,0.0020708630327135324,0.0757708247823582,
polybench/atax,STANDARD,3,False,0.010978021,0.047452516155317426,0.23134750039529414,
polybench/atax,LARGE,3,False,0.041662589,0.18011190206743777,0.23131502428085307,
polybench/atax,EXTRALARGE,0,False,,,,"polybench_atax.EXTRALARGE: exit -11, timer line missing"
polybench/bicg,SMALL,3,False,0.001048666,0.0030712501611560583,0.34144597312947916,
polybench/bicg,STANDARD,3,False,0.044055934,0.0800390571821481,0.5504304467222814,
polybench/bicg,LARGE,3,False,0.177221294,0.3144736997783184,0.5635488567881143,
polybench/bicg,EXTRALARGE,0,False,,,,"polybench_bicg.EXTRALARGE: exit -11, timer line missing"
polybench/correlation,SMALL,3,False,0.056499615,0.0586118979845196,0.9639615324336113,
polybench/correlation,STANDARD,3,False,0.463725982,0.4687550750095397,0.9892713844016784,
polybench/correlation,LARGE,3,False,4.144673745,4.158381703076884,0.9967035354001436,
polybench/covariance,SMALL,3,False,0.056360853,0.05817032512277365,0.9688935532171328,
polybench/covariance,STANDARD,3,False,0.457700713,0.4632541090250015,0.9880122034174945,
polybench/covariance,LARGE,3,False,4.350533398,4.364847251214087,0.9967206519746812,
polybench/doitgen,SMALL,3,False,0.000493453,0.0021614639554172754,0.22829573389982247,
polybench/doitgen,STANDARD,3,False,0.194157573,0.2004223729018122,0.9687420131240471,
polybench/doitgen,LARGE,3,False,4.681238799,4.727075875969604,0.9903032914697605,
polybench/dynprog,SMALL,3,False,0.001203908,0.0022587240673601627,0.5330035737419856,
polybench/dynprog,STANDARD,3,False,0.078329606,0.07958211400546134,0.9842614383757714,
polybench/dynprog,LARGE,3,False,11.222296128,11.23904072586447,0.9985101399422874,
polybench/fdtd-2d,SMALL,3,False,0.002091373,0.005574606126174331,0.37516067551040433,
polybench/fdtd-2d,STANDARD,3,False,0.043788863,0.05482536391355097,0.7986971699640077,
polybench/fdtd-2d,LARGE,3,False,0.224127635,0.260255787987262,0.8611821344429417,
polybench/fdtd-2d,EXTRALARGE,3,False,2.028749034,2.171133522875607,0.9344192849608703,
polybench/fdtd-apml,SMALL,3,False,0.00307923,0.00678115407936275,0.45408642304281144,
polybench/fdtd-apml,STANDARD,3,False,0.197031131,0.3470680790487677,0.5677016784142643,
polybench/fdtd-apml,LARGE,3,False,1.55358604,2.780639332951978,0.5587154082117815,
polybench/floyd-warshall,SMALL,3,False,0.002157874,0.0031859001610428095,0.6773200323056214,
polybench/floyd-warshall,STANDARD,3,False,0.402392545,0.4070163848809898,0.9886396713922418,
polybench/floyd-warshall,LARGE,3,False,3.11062165,3.125873357988894,0.9951208170510445,
polybench/gemm,SMALL,3,False,0.002008023,0.003326551988720894,0.6036349369582866,
polybench/gemm,STANDARD,3,False,3.345439153,3.3557745900470763,0.9969201039075359,
polybench/gemver,SMALL,3,False,0.000277801,0.0025669769383966923,0.10822107352998335,
polybench/gemver,STANDARD,3,False,0.034842704,0.06999200116842985,0.49780979852474816,
polybench/gemver,LARGE,3,False,0.166717605,0.30666009709239006,0.543656010614813,
polybench/gemver,EXTRALARGE,0,False,,,,"polybench_gemver.EXTRALARGE: exit -11, timer line missing"
polybench/gesummv,SMALL,3,False,0.000681204,0.002509047044441104,0.27149909425143515,
polybench/gesummv,STANDARD,3,False,0.044368407,0.10651606600731611,0.4165419233278155,
polybench/gesummv,LARGE,3,False,0.177597386,0.4194688340649009,0.42338636765686827,
polybench/gesummv,EXTRALARGE,0,False,,,,"polybench_gesummv.EXTRALARGE: exit -11, timer line missing"
polybench/gramschmidt,SMALL,3,False,0.002521946,0.003908044891431928,0.6453216557284597,
polybench/gramschmidt,STANDARD,3,False,0.855838898,0.8598679939750582,0.9953142854446387,
polybench/gramschmidt,LARGE,3,False,7.296719995,7.331707390956581,0.9952279334006515,
polybench/jacobi-1d-imper,SMALL,3,False,1.0181e-05,0.0011297669261693954,0.009011593244741063,
polybench/jacobi-1d-imper,STANDARD,3,False,0.000806096,0.0019418119918555021,0.4151256678715499,
polybench/jacobi-1d-imper,LARGE,3,False,0.032739361,0.03461502306163311,0.9458136411380275,
polybench/jacobi-1d-imper,EXTRALARGE,3,False,0.35833341,0.36519380402751267,0.9812143745270229,
polybench/jacobi-2d-imper,SMALL,3,False,0.001266968,0.00412959698587656,0.30680185120560133,
polybench/jacobi-2d-imper,STANDARD,3,False,0.009722672,0.015763721894472837,0.616775154058574,
polybench/jacobi-2d-imper,LARGE,3,False,0.061296485,0.08193936804309487,0.7480712441882876,
polybench/jacobi-2d-imper,EXTRALARGE,3,False,1.30293895,1.3873830039519817,0.939134288288496,
polybench/lu,SMALL,3,False,0.000719434,0.0018977730069309473,0.37909381015143584,
polybench/lu,STANDARD,3,False,0.135534374,0.13982245093211532,0.9693319856465884,
polybench/lu,LARGE,3,False,1.118604721,1.1327830830123276,0.9874836036793346,
polybench/ludcmp,SMALL,3,False,0.000210311,0.0011793170124292374,0.17833288062790437,
polybench/ludcmp,STANDARD,3,False,0.155871015,0.15844260179437697,0.9837696000617667,
polybench/ludcmp,LARGE,3,False,1.398419215,1.410247511928901,0.9916126092555749,
polybench/mvt,SMALL,3,False,0.000221752,0.0019716329406946898,0.11247123915563481,
polybench/mvt,STANDARD,3,False,0.02627258,0.0642005039844662,0.4092270055443311,
polybench/mvt,LARGE,3,False,0.130910824,0.2715681998524815,0.48205505678172944,
polybench/mvt,EXTRALARGE,0,False,,,,"polybench_mvt.EXTRALARGE: exit -11, timer line missing"
polybench/reg_detect,SMALL,3,False,3.2721e-05,0.0009002760052680969,0.03634552049430206,
polybench/reg_detect,STANDARD,3,False,0.004217427,0.005189364077523351,0.8127059379523797,
polybench/reg_detect,LARGE,3,False,0.011727596,0.012992362957447767,0.9026530461325551,
polybench/reg_detect,EXTRALARGE,3,False,0.106074254,0.10779066500253975,0.9840764411046234,
polybench/seidel-2d,SMALL,3,False,0.014711775,0.016168273985385895,0.9099162355423721,
polybench/seidel-2d,STANDARD,3,False,0.118870286,0.12348927604034543,0.962596023003355,
polybench/seidel-2d,LARGE,3,False,0.478719486,0.4909011540003121,0.9751850899085392,
polybench/seidel-2d,EXTRALARGE,3,False,9.613290686,9.66625343915075,0.9945208602811676,
polybench/symm,SMALL,3,False,0.003562283,0.004638310056179762,0.7680131247918327,
polybench/symm,STANDARD,3,False,7.403692506,7.413547708885744,0.9986706495631056,
polybench/syr2k,SMALL,3,False,0.002460366,0.003874105168506503,0.6350798166247226,
polybench/syr2k,STANDARD,3,False,0.984616475,0.9940123960841447,0.9905474809759321,
polybench/syr2k,LARGE,3,False,8.049447535,8.07953755906783,0.996275773972477,
polybench/syrk,SMALL,3,False,0.001116397,0.0025500059127807617,0.43780172995072697,
polybench/syrk,STANDARD,3,False,0.487005188,0.4932583880145103,0.9873226686733478,
polybench/syrk,LARGE,3,False,3.698524033,3.7223041669931263,0.9936114479294862,
polybench/trisolv,SMALL,3,False,9.1951e-05,0.0023233741521835327,0.039576492625427305,
polybench/trisolv,STANDARD,3,False,0.005305294,0.041112134931609035,0.1290444782015207,
polybench/trisolv,LARGE,3,False,0.018737341,0.15882363403216004,0.11797577302762066,
polybench/trisolv,EXTRALARGE,0,False,,,,"polybench_trisolv.EXTRALARGE: exit -11, timer line missing"
rodinia-3.1/hotspot,SMALL,3,False,0.013464347,0.016907998826354742,0.796330017424234,
rodinia-3.1/hotspot,STANDARD,3,False,0.307524412,0.31481360807083547,0.9768459943154829,
rodinia-3.1/hotspot,LARGE,3,False,2.822307166,2.8450793619267642,0.9919959364819467,
rodinia-3.1/nw,SMALL,3,False,0.013430287,0.02436748705804348,0.5511560124361198,
rodinia-3.1/nw,STANDARD,3,False,0.24676868,0.389472050126642,0.6335979177960521,
rodinia-3.1/nw,LARGE,3,False,1.000689038,1.5151618930976838,0.6604502413627457,
rodinia-3.1/pathfinder,SMALL,3,False,0.000330532,0.008341324049979448,0.039625843333686864,
rodinia-3.1/pathfinder,STANDARD,3,False,0.007940531,0.14676891500130296,0.054102266818075936,
rodinia-3.1/pathfinder,LARGE,3,False,0.080781571,1.4308300889097154,0.05645783634698031,
rodinia-3.1/pathfinder,EXTRALARGE,3,False,0.315938866,5.743962838081643,0.055003640327435786,
