benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
rodinia-3.1/hotspot,serial,unpinned,-1,8,0,2.8445,2.821485754,4737.48 3754.94 3077.03
rodinia-3.1/hotspot,serial,unpinned,-1,9,0,2.8265,2.806411681,4360.35 3693.06 3060.65
rodinia-3.1/hotspot,serial,unpinned,-1,10,0,3.0948,3.071567126,4742.86 3783.44 3093.29
rodinia-3.1/hotspot,serial,2_lanes,0,1,0,,3.000996428,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,2,0,,3.022482062,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,3,0,,3.146092533,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,4,0,,3.016017911,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,5,0,,3.242659082,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,6,0,,2.994947862,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,7,0,,2.979166805,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,8,0,,2.99525928,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,9,0,,2.986080591,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,0,10,0,,3.371150618,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,1,0,,3.01640507,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,2,0,,3.260422719,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,3,0,,3.016035493,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,4,0,,3.064306753,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,5,0,,3.368147117,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,6,0,,3.383078154,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,7,0,,3.382687198,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,8,0,,3.376165178,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,9,0,,3.132214967,5319.73 4024.74 3196.13
rodinia-3.1/hotspot,serial,2_lanes,1,10,0,,2.992234282,5319.73 4024.74 3196.13
polybench/jacobi-2d-imper,serial,alone,0,1,0,1.4594,1.354471677,5319.73 4024.74 3196.13
polybench/jacobi-2d-imper,serial,alone,0,2,0,1.4375,1.351903458,5630.06 4110.57 3228.35
polybench/jacobi-2d-imper,serial,alone,0,3,0,1.3976,1.31388127,5630.06 4110.57 3228.35
polybench/jacobi-2d-imper,serial,alone,0,4,0,1.4025,1.317784978,5630.06 4110.57 3228.35
polybench/jacobi-2d-imper,serial,alone,0,5,0,1.4031,1.31951192,5886.62 4188.99 3258.46
polybench/jacobi-2d-imper,serial,alone,0,6,0,1.4314,1.346148724,5886.62 4188.99 3258.46
polybench/jacobi-2d-imper,serial,alone,0,7,0,1.4094,1.325684094,5886.62 4188.99 3258.46
polybench/jacobi-2d-imper,serial,alone,0,8,0,1.4172,1.331325045,5886.62 4188.99 3258.46
polybench/jacobi-2d-imper,serial,alone,0,9,0,1.44,1.352796802,6169.01 4275.71 3291.52
polybench/jacobi-2d-imper,serial,alone,0,10,0,1.446,1.358544303,6169.01 4275.71 3291.52
polybench/jacobi-2d-imper,serial,unpinned,-1,1,0,1.4457,1.360331675,6169.01 4275.71 3291.52
polybench/jacobi-2d-imper,serial,unpinned,-1,2,0,1.4452,1.360039203,6380.98 4351.09 3321.19
polybench/jacobi-2d-imper,serial,unpinned,-1,3,0,1.4401,1.355149067,6380.98 4351.09 3321.19
polybench/jacobi-2d-imper,serial,unpinned,-1,4,0,1.4134,1.329742952,6380.98 4351.09 3321.19
polybench/jacobi-2d-imper,serial,unpinned,-1,5,0,1.4032,1.321081848,6380.98 4351.09 3321.19
polybench/jacobi-2d-imper,serial,unpinned,-1,6,0,1.4046,1.322483478,6233.63 4354.24 3327.74
polybench/jacobi-2d-imper,serial,unpinned,-1,7,0,1.422,1.337334666,6233.63 4354.24 3327.74
polybench/jacobi-2d-imper,serial,unpinned,-1,8,0,1.4011,1.318495848,6233.63 4354.24 3327.74
