== polybench/2mm
  discopop_cc: rc=0 0.3s
  ./a.out: rc=0 0.2s
  seed=7 run 2: rc=0 3.98s 380bc6fa1a {'optimizer_output': 0, 'merged_pattern': 0, 'task': 57, 'do_all': 22, 'reduction': 2}
  seed=7 run 3: rc=0 3.35s ce25e843fa {'optimizer_output': 0, 'merged_pattern': 0, 'task': 15, 'do_all': 22, 'reduction': 0}
  seed=7 run 4: rc=0 3.53s 0e1bcd7f5c {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 22, 'reduction': 0}
  seed=7 run 5: rc=0 3.55s 8112074f5c {'optimizer_output': 0, 'merged_pattern': 0, 'task': 60, 'do_all': 22, 'reduction': 0}
  seed=7 run 6: rc=0 3.24s 5ef0001e8e {'optimizer_output': 0, 'merged_pattern': 0, 'task': 18, 'do_all': 22, 'reduction': 0}
  seed=7 run 7: rc=0 3.15s 8c820a158d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 18, 'do_all': 22, 'reduction': 0}
  seed=7 run 8: rc=0 3.45s d0254f6179 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 54, 'do_all': 22, 'reduction': 0}
  seed=7 run 9: rc=0 3.35s a58bef8426 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 60, 'do_all': 22, 'reduction': 0}
  seed=7 run 10: rc=0 3.06s 7a6f942f61 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 18, 'do_all': 22, 'reduction': 0}
  seed=7 run 11: rc=0 3.11s 4324c684b7 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 18, 'do_all': 22, 'reduction': 0}
  seed=7 run 12: rc=0 3.61s 4cc37e82c6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 63, 'do_all': 22, 'reduction': 2}
  seed=7 run 13: rc=0 3.02s 8a2367ceb2 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 18, 'do_all': 22, 'reduction': 0}
  seed=7 run 14: rc=0 3.58s 57b95de69e {'optimizer_output': 0, 'merged_pattern': 0, 'task': 54, 'do_all': 22, 'reduction': 0}
  seed=7 run 15: rc=0 3.39s c4b014326a {'optimizer_output': 0, 'merged_pattern': 0, 'task': 21, 'do_all': 22, 'reduction': 0}
