kernel,size,runs,timed_out,kernel_s_median,program_s_median,kernel_share
tsvc/s4112,SMALL,3,False,0.000476754,0.0013135699555277824,0.3629452683457912
tsvc/s4112,STANDARD,3,False,0.071671182,0.1276801130734384,0.5613339483712434
tsvc/s4112,LARGE,3,False,0.682486422,1.1138789872638881,0.6127114613019562
tsvc/s4112,EXTRALARGE,3,False,4.242841616,6.88814477622509,0.61596289767957
tsvc/s4113,SMALL,3,False,0.000516183,0.001712982077151537,0.3013359023921279
tsvc/s4113,STANDARD,3,False,0.098001581,0.14671815000474453,0.6679581292214416
tsvc/s4113,LARGE,3,False,0.927061471,1.324429013300687,0.6999706754306264
tsvc/s4113,EXTRALARGE,3,False,5.550591084,8.208309804089367,0.6762160805912447
tsvc/s4114,SMALL,3,False,0.000711725,0.002387017011642456,0.29816503046632126
tsvc/s4114,STANDARD,3,False,0.130141001,0.17942413268610835,0.725326069864157
tsvc/s4114,LARGE,3,False,1.236806317,1.6487376550212502,0.7501534966665507
tsvc/s4115,SMALL,3,False,0.000706885,0.00166716193780303,0.4240050015366391
tsvc/s4115,STANDARD,3,False,0.090955991,0.14416022086516023,0.6309368177583148
tsvc/s4115,LARGE,3,False,0.732928563,1.1578314919024706,0.6330183348145948
tsvc/s4115,EXTRALARGE,3,False,4.448616384,7.154495880939066,0.6217931295274007
tsvc/s4117,SMALL,3,False,0.000915046,0.00267232907935977,0.3424151640108727
tsvc/s4117,STANDARD,3,False,0.09225919,0.1417855340987444,0.6506953659725786
tsvc/s4117,LARGE,3,False,0.962531256,1.3340943539515138,0.7214866423420769
tsvc/s4117,EXTRALARGE,3,False,5.425813169,7.92585537256673,0.684571306685715
tsvc/s4121,SMALL,3,False,0.000307182,0.0010646781884133816,0.28852098534842036
tsvc/s4121,STANDARD,3,False,0.081578684,0.13286770088598132,0.6139843126359632
tsvc/s4121,LARGE,3,False,0.790216213,1.187021812889725,0.6657133040177852
tsvc/s4121,EXTRALARGE,3,False,4.576603785,7.029702776111662,0.6510380212022926
tsvc/s491,SMALL,3,False,0.000748595,0.0017764819785952568,0.421391834547034
tsvc/s491,STANDARD,3,False,0.13418875,0.18405020702630281,0.7290877427854398
tsvc/s491,LARGE,3,False,1.201131415,1.6132547329179943,0.7445392165857396
tsvc/s353,SMALL,3,False,0.000414023,0.0011985180899500847,0.34544576629397644
tsvc/s353,STANDARD,3,False,0.068598761,0.12019109027460217,0.570747472572813
tsvc/s353,LARGE,3,False,0.696907067,1.1100965733639896,0.6277895849080251
tsvc/s353,EXTRALARGE,3,False,4.088936299,6.804353769868612,0.600929410388219
