kernel,size,runs,timed_out,kernel_s_median,program_s_median,kernel_share
tsvc/s000,SMALL,3,False,0.000119871,0.00178513303399086,0.06714961726522717
tsvc/s000,STANDARD,3,False,0.043209247,0.0965076694265008,0.44772863397046075
tsvc/s000,LARGE,3,False,0.490334792,0.8671261491253972,0.565471116854869
tsvc/s000,EXTRALARGE,3,False,2.935468805,5.289224807173014,0.5549903647542163
tsvc/s112,SMALL,3,False,0.000459273,0.0026002791710197926,0.17662449675350808
tsvc/s112,STANDARD,3,False,0.044602597,0.0903641520999372,0.4935872905737252
tsvc/s112,LARGE,3,False,0.484818656,0.8638978158123791,0.5611990760088837
tsvc/s112,EXTRALARGE,3,False,2.932260632,5.283766956068575,0.5549564650333803
tsvc/s121,SMALL,3,False,0.000664334,0.00269029987975955,0.24693678388722076
tsvc/s121,STANDARD,3,False,0.044855369,0.09208154492080212,0.48712659022586335
tsvc/s121,LARGE,3,False,0.499466048,0.8580188038758934,0.5821155034642392
tsvc/s121,EXTRALARGE,3,False,2.993503678,5.410026966128498,0.5533250937087656
tsvc/s1213,SMALL,3,False,0.000594824,0.002649409230798483,0.22451193763702976
tsvc/s1213,STANDARD,3,False,0.115916168,0.16681549977511168,0.6948764842371938
tsvc/s1213,LARGE,3,False,1.016992437,1.3822325677610934,0.7357607255972124
tsvc/s127,SMALL,3,False,0.000370612,0.002576177939772606,0.1438611806576968
tsvc/s127,STANDARD,3,False,0.078492714,0.12710241880267859,0.617554840729324
tsvc/s127,LARGE,3,False,0.729844846,1.0926973992027342,0.667929516929863
tsvc/s127,EXTRALARGE,3,False,4.423519868,6.864397555124015,0.6444148714402488
tsvc/s211,SMALL,3,False,0.001019637,0.0028753806836903095,0.354609393386959
tsvc/s211,STANDARD,3,False,0.151830899,0.19880261132493615,0.7637268846123832
tsvc/s211,LARGE,3,False,1.373815926,1.747284172102809,0.7862578668852989
tsvc/s212,SMALL,3,False,0.001173298,0.003187604248523712,0.3680814519378916
tsvc/s212,STANDARD,3,False,0.125845348,0.17474151495844126,0.7201800215016436
tsvc/s212,LARGE,3,False,1.066963755,1.4286775439977646,0.746819154176941
tsvc/s241,SMALL,3,False,0.000456973,0.0025863787159323692,0.17668448830985095
tsvc/s241,STANDARD,3,False,0.022134022,0.06740882201120257,0.3283549740169258
tsvc/s241,LARGE,3,False,0.182225439,0.5399711192585528,0.3374725656628045
tsvc/s241,EXTRALARGE,3,False,1.10414004,3.5178154590539634,0.3138709386128326
tsvc/s243,SMALL,3,False,0.000234732,0.0021218545734882355,0.1106258661328099
tsvc/s243,STANDARD,3,False,0.028203776,0.07362818624824286,0.3830567807946388
tsvc/s243,LARGE,3,False,0.224157904,0.5820592418313026,0.38511183723282816
tsvc/s243,EXTRALARGE,3,False,1.329542797,3.7563051390461624,0.3539496254390053
tsvc/s244,SMALL,3,False,0.001050487,0.0026921099051833153,0.3902095519864998
tsvc/s244,STANDARD,3,False,0.144412442,0.18965112091973424,0.7614636881641182
tsvc/s244,LARGE,3,False,1.213971528,1.5778265870176256,0.7693947725235277
tsvc/s252,SMALL,3,False,0.000249392,0.0015196609310805798,0.16411029256550388
tsvc/s252,STANDARD,3,False,0.072416177,0.11798506928607821,0.613774076992849
tsvc/s252,LARGE,3,False,0.735552374,1.1031701397150755,0.6667624036578591
tsvc/s252,EXTRALARGE,3,False,4.425791977,6.956093264278024,0.6362467852074372
tsvc/s254,SMALL,3,False,0.000394793,0.001950983889400959,0.20235584832082823
tsvc/s254,STANDARD,3,False,0.054718758,0.10544078703969717,0.5189524806885124
tsvc/s254,LARGE,3,False,0.485269997,0.8564340863376856,0.5666168649068244
tsvc/s254,EXTRALARGE,3,False,2.959343277,5.474797531031072,0.5405393094861473
tsvc/s255,SMALL,3,False,0.000538014,0.0020038639195263386,0.2684882914240866
tsvc/s255,STANDARD,3,False,0.057313956,0.11176720215007663,0.5127976266511625
tsvc/s255,LARGE,3,False,0.486349871,0.8514146911911666,0.5712256037296879
tsvc/s255,EXTRALARGE,3,False,3.043249648,5.598967033904046,0.5435376971451829
tsvc/s281,SMALL,3,False,0.000719095,0.0022008861415088177,0.3267297596353732
tsvc/s281,STANDARD,3,False,0.114975764,0.16250834753736854,0.7075068188331771
tsvc/s281,LARGE,3,False,1.020067546,1.4037055689841509,0.7266962307047151
tsvc/s291,SMALL,3,False,0.000386493,0.001654351595789194,0.23362204321242055
tsvc/s291,STANDARD,3,False,0.051383393,0.09931260999292135,0.5173904200449714
tsvc/s291,LARGE,3,False,0.478851562,0.8502159039489925,0.5632117204299298
tsvc/s291,EXTRALARGE,3,False,3.000952599,5.5261196959763765,0.54304878723221
tsvc/s292,SMALL,3,False,0.000756826,0.002230186015367508,0.33935554917166144
tsvc/s292,STANDARD,3,False,0.092873233,0.141302942764014,0.6572632613540464
tsvc/s292,LARGE,3,False,0.74550491,1.1182896979153156,0.6666473914494154
tsvc/s292,EXTRALARGE,3,False,2.990478761,5.535517048090696,0.5402347666929275
tsvc/s293,SMALL,3,False,9.536e-05,0.001751431729644537,0.0544468838756015
tsvc/s293,STANDARD,3,False,0.02342095,0.07001583697274327,0.3345093197860025
tsvc/s293,LARGE,3,False,0.250724214,0.6221163324080408,0.40301821530631693
tsvc/s293,EXTRALARGE,3,False,1.569180046,4.104636810719967,0.38229449239012225
tsvc/s3112,SMALL,3,False,0.000727995,0.0022662170231342316,0.32123798937542436
tsvc/s3112,STANDARD,3,False,0.0926772,0.14305120520293713,0.6478603229418801
tsvc/s3112,LARGE,3,False,0.743480555,1.1080320701003075,0.670991909947782
tsvc/s3112,EXTRALARGE,3,False,4.477662112,6.995752036105841,0.6400544343038884
tsvc/s313,SMALL,3,False,0.000753896,0.0024027382023632526,0.3137653529038216
tsvc/s313,STANDARD,3,False,0.093218443,0.1412051492370665,0.6601631987477837
tsvc/s313,LARGE,3,False,0.745359952,1.130006860010326,0.6596065726478767
tsvc/s313,EXTRALARGE,3,False,4.351770056,6.8678871262818575,0.6336402995539568
tsvc/s321,SMALL,3,False,0.000684325,0.00268353009596467,0.25500925107158157
tsvc/s321,STANDARD,3,False,0.04447615,0.09388221660628915,0.4737441403468157
tsvc/s321,LARGE,3,False,0.356234219,0.7400990887545049,0.4813331409440026
tsvc/s321,EXTRALARGE,3,False,2.139228325,4.596087514888495,0.4654455160112197
tsvc/s322,SMALL,3,False,0.001135308,0.0032366528175771236,0.3507660734677941
tsvc/s322,STANDARD,3,False,0.059371908,0.10867521306499839,0.5463242843102576
tsvc/s322,LARGE,3,False,0.475205255,0.8585121780633926,0.5535218569315516
tsvc/s322,EXTRALARGE,3,False,2.846781736,5.324122412595898,0.5346950192702249
tsvc/s323,SMALL,3,False,0.000237321,0.0015444811433553696,0.15365742794659348
tsvc/s323,STANDARD,3,False,0.030402889,0.07812563236802816,0.38915382926797226
tsvc/s323,LARGE,3,False,0.24431852,0.6172001846134663,0.39584971957357606
tsvc/s323,EXTRALARGE,3,False,1.467672119,3.8804710009135306,0.37822009716204147
tsvc/s331,SMALL,3,False,0.000746125,0.0027580303139984608,0.27052820855993553
tsvc/s331,STANDARD,3,False,0.045729369,0.09444575011730194,0.4841866250541074
tsvc/s331,LARGE,3,False,0.36689079,0.7685383418574929,0.47738775024972163
tsvc/s331,EXTRALARGE,3,False,2.220475908,4.716997952666134,0.47073921385633555
tsvc/s341,SMALL,3,False,0.000468833,0.001968264114111662,0.2381961834484793
tsvc/s341,STANDARD,3,False,0.049019783,0.09641266288235784,0.5084371858893022
tsvc/s341,LARGE,3,False,0.402363605,0.7857826021499932,0.512054611414259
tsvc/s341,EXTRALARGE,3,False,2.494082445,5.040095923002809,0.49484820985590794
tsvc/vpvtv,SMALL,3,False,0.000374832,0.002181755378842354,0.17180294529576778
tsvc/vpvtv,STANDARD,3,False,0.073389988,0.11888354364782572,0.6173267194777319
tsvc/vpvtv,LARGE,3,False,0.736368373,1.0993711920455098,0.6698086854812885
tsvc/vpvtv,EXTRALARGE,3,False,4.440568565,6.898823759984225,0.6436703878068273
