benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
tsvc/s211,polly_parallel,alone,0,5,0,1.5771,1.150130045,3.79 2.69 64.13
tsvc/s211,polly_parallel,alone,0,6,0,1.5632,1.158512003,3.79 2.69 64.13
tsvc/s211,polly_parallel,alone,0,7,0,1.5581,1.149540182,3.73 2.69 63.80
tsvc/s211,polly_parallel,alone,0,8,0,1.5563,1.155541183,3.73 2.69 63.80
tsvc/s211,polly_parallel,alone,0,9,0,1.5615,1.152344111,3.73 2.69 63.80
tsvc/s211,polly_parallel,alone,0,10,0,1.5483,1.148028952,4.23 2.81 63.51
tsvc/s211,polly_parallel,unpinned,-1,1,0,1.5537,1.147227157,4.23 2.81 63.51
tsvc/s211,polly_parallel,unpinned,-1,2,0,1.571,1.15627334,4.23 2.81 63.51
tsvc/s211,polly_parallel,unpinned,-1,3,0,1.5629,1.150997083,4.13 2.82 63.19
tsvc/s211,polly_parallel,unpinned,-1,4,0,1.5454,1.133722804,4.13 2.82 63.19
tsvc/s211,polly_parallel,unpinned,-1,5,0,1.5603,1.159831785,4.13 2.82 63.19
tsvc/s211,polly_parallel,unpinned,-1,6,0,1.5707,1.168237563,4.20 2.85 62.88
tsvc/s211,polly_parallel,unpinned,-1,7,0,1.5677,1.145386765,4.20 2.85 62.88
tsvc/s211,polly_parallel,unpinned,-1,8,0,1.5761,1.159877285,4.20 2.85 62.88
tsvc/s211,polly_parallel,unpinned,-1,9,0,1.5502,1.154918062,4.20 2.85 62.88
tsvc/s211,polly_parallel,unpinned,-1,10,0,1.5507,1.147907754,4.11 2.86 62.55
tsvc/s211,polly_parallel,4_lanes,0,1,0,,1.14895109,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,2,0,,1.161027474,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,3,0,,1.145219196,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,4,0,,1.143854616,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,5,0,,1.16471886,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,6,0,,1.15426746,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,7,0,,1.164912754,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,8,0,,1.153693297,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,9,0,,1.151920944,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,0,10,0,,1.165387908,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,1,0,,1.159390183,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,2,0,,1.130035891,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,3,0,,1.169234872,4.77 3.06 61.66
tsvc/s211,polly_parallel,4_lanes,1,4,0,,1.156653645,4.77 3.06 61.66
