run_id,benchmark,kernel,group,arm,model,repeat,outcome,best_speedup,seq_median_s,seq_kernel_median_s,timing_basis,kernel_program_disagree,dump_exact,dump_exact_seeded,digest_max_rel_err,dump_max_rel_err,dump_seeded_max_rel_err,digest_seeded_rel_err,stable_at_fixed_threads,source_changed,pragmas_in_final,pragmas_discopop,pragmas_llm,rewrites_kept,baseline_pragmas,agent_verdict,llm_calls,llm_call_failures,explorer_retries,profile_explore_attempts,scaffold_ok,scaffold_problems,input_tokens,output_tokens,cache_read_input_tokens,cost_usd_equivalent,model_seconds,candidates_recorded,reverts,gate_passes_phase_a,settle_dropped,agent_s,verify_s,profile_s,discopop_do_all,host_load_start_1m,host_load_end_1m,started_at,finished_at,verify_size,speed_measurable,require_speedup,min_runtime_share,timing_cflags,speedup_T4,program_speedup_T4
dp_alone_look_mac,polybench/gemm,gemm,,discopop_gate,none,1,parallel-not-faster,1.077,0.2727,0.002218,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,29.1,4.4,16.26,15,2.81396484375,2.79443359375,2026-09-19T19:42:12,2026-09-19T19:42:46,SMALL,,False,0.01,,1.077,0.965
dp_alone_look_mac,polybench/gemver,gemver,,discopop_gate,none,1,parallel-not-faster,0.287,0.2748,0.000624,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,0,4,,0,0,0,1,True,,,,,,,2,0,0,0,35.4,4.4,18.06,18,2.71630859375,3.30322265625,2026-09-19T19:43:04,2026-09-19T19:43:44,SMALL,,False,0.01,,0.287,0.991
dp_alone_look_mac,polybench/gesummv,gesummv,,discopop_gate,none,1,parallel-not-faster,0.405,0.2637,0.000666,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,2,,0,0,0,1,True,,,,,,,1,0,0,0,28.7,4.3,15.11,11,2.79248046875,3.18798828125,2026-09-19T19:43:59,2026-09-19T19:44:33,SMALL,,False,0.01,,0.405,0.945
dp_alone_look_mac,polybench/gramschmidt,gramschmidt,,discopop_gate,none,1,FASTER,1.236,0.2771,0.004424,kernel,True,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,2,,0,0,0,1,True,,,,,,,1,0,0,0,24.1,4.9,18.88,18,2.9853515625,3.1435546875,2026-09-19T19:44:52,2026-09-19T19:45:21,SMALL,,False,0.01,,1.236,0.472
dp_alone_look_mac,polybench/jacobi-1d-imper,jacobi-1d-imper,,discopop_gate,none,1,parallel-not-faster,0.004,0.2615,5e-06,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,0,2,,0,0,0,1,True,,,,,,,2,0,0,0,32.7,4.4,14.38,7,3.19140625,3.52978515625,2026-09-19T19:45:35,2026-09-19T19:46:12,SMALL,,False,0.01,,0.004,0.92
dp_alone_look_mac,polybench/jacobi-2d-imper,jacobi-2d-imper,B,discopop_gate,none,1,parallel-not-faster,1.088,0.2699,0.002498,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,0,4,,0,0,0,1,True,,,,,,,2,0,0,0,34.9,4.7,19.01,11,4.19677734375,3.3037109375,2026-09-19T19:46:32,2026-09-19T19:47:11,SMALL,,False,0.01,,1.088,0.948
dp_alone_look_mac,polybench/lu,lu,C,discopop_gate,none,1,parallel-not-faster,0.257,0.276,0.000363,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,1,,0,0,0,1,True,,,,,,,1,0,0,0,22.1,4.4,15.8,9,3.3154296875,3.6279296875,2026-09-19T19:47:27,2026-09-19T19:47:54,SMALL,,False,0.01,,0.257,0.951
dp_alone_look_mac,polybench/ludcmp,ludcmp,,discopop_gate,none,1,parallel-not-faster,0.036,0.2647,0.000491,kernel,False,True,True,0.0,0.0,0.0,5.787866251964668e-12,True,True,2,2,0,0,2,,0,0,0,1,True,,,,,,,3,0,0,0,33.0,4.3,17.03,11,3.73828125,3.564453125,2026-09-19T19:48:11,2026-09-19T19:48:49,SMALL,,False,0.01,,0.036,0.903
dp_alone_look_mac,polybench/mvt,mvt,,discopop_gate,none,1,parallel-not-faster,0.327,0.2959,0.000664,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,2,2,0,0,4,,0,0,0,1,True,,,,,,,2,0,0,0,33.6,4.4,14.62,13,3.64794921875,5.326171875,2026-09-19T19:49:03,2026-09-19T19:49:41,SMALL,,False,0.01,,0.327,1.046
dp_alone_look_mac,polybench/reg_detect,reg_detect,,discopop_gate,none,1,parallel-not-faster,0.026,0.2802,5e-05,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,3,3,0,0,9,,0,0,0,1,True,,,,,,,5,0,0,0,40.5,5.1,532.53,20,4.06640625,3.94091796875,2026-09-19T19:58:35,2026-09-19T19:59:21,SMALL,,False,0.01,,0.026,0.837
dp_alone_look_mac,polybench/seidel-2d,seidel-2d,C,discopop_gate,none,1,no-change,0.995,0.3309,0.02577,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,3,,0,0,0,1,True,,,,,,,3,0,0,0,30.1,5.4,17.18,9,4.38818359375,4.6025390625,2026-09-19T19:59:38,2026-09-19T20:00:14,SMALL,,False,0.01,,0.995,0.994
dp_alone_look_mac,polybench/symm,symm,,discopop_gate,none,1,parallel-not-faster,0.187,0.2731,0.003098,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,1,,0,0,0,1,True,,,,,,,3,0,0,0,46.9,5.3,16.71,13,4.46240234375,5.40283203125,2026-09-19T20:00:31,2026-09-19T20:01:23,SMALL,,False,0.01,,0.187,0.471
dp_alone_look_mac,polybench/syr2k,syr2k,,discopop_gate,none,1,parallel-not-faster,0.751,0.2721,0.004125,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,28.9,4.6,18.05,15,5.455078125,4.48291015625,2026-09-19T20:01:42,2026-09-19T20:02:15,SMALL,,False,0.01,,0.751,0.969
dp_alone_look_mac,polybench/syrk,syrk,,discopop_gate,none,1,parallel-not-faster,0.563,0.2786,0.001944,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,3,,0,0,0,1,True,,,,,,,1,0,0,0,30.3,4.4,16.6,14,4.498046875,4.47705078125,2026-09-19T20:02:32,2026-09-19T20:03:07,SMALL,,False,0.01,,0.563,0.917
dp_alone_look_mac,polybench/trisolv,trisolv,C,discopop_gate,none,1,no-change,0.856,0.2875,0.000155,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,2,,0,0,0,1,True,,,,,,,2,0,0,0,18.9,4.9,14.4,9,4.22265625,3.9755859375,2026-09-19T20:03:21,2026-09-19T20:03:45,SMALL,,False,0.01,,0.856,0.952
dp_alone_look_mac,rodinia-3.1/hotspot,hotspot,A,discopop_gate,none,1,FASTER,2.01,0.3757,0.036039,kernel,False,True,True,0.0,0.0,0.0,0.0,True,True,1,1,0,0,6,,0,0,0,1,True,,,,,,,1,0,0,0,86.8,11.1,447.9,7,4.01708984375,6.8828125,2026-09-19T20:26:07,2026-09-19T20:27:45,SMALL,,False,0.01,,2.01,1.197
dp_alone_look_mac,rodinia-3.1/pathfinder,pathfinder,,discopop_gate,none,1,no-change,0.968,0.2919,0.000459,kernel,False,True,True,0.0,0.0,0.0,0.0,True,False,0,0,0,0,3,,0,0,0,1,True,,,,,,,4,0,0,0,26.4,12.0,30.86,10,7.33251953125,6.69140625,2026-09-19T20:18:00,2026-09-19T20:18:38,SMALL,,False,0.01,,0.968,1.005
