benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
polybench/2mm,polly_parallel,alone,0,5,0,0.2176,0.207416859,14.51 105.43 183.47
polybench/2mm,polly_parallel,alone,0,6,0,0.2158,0.207217908,14.51 105.43 183.47
polybench/2mm,polly_parallel,alone,0,7,0,0.2155,0.207268948,14.51 105.43 183.47
polybench/2mm,polly_parallel,alone,0,8,0,0.2164,0.208078894,14.51 105.43 183.47
polybench/2mm,polly_parallel,alone,0,9,0,0.217,0.207505329,14.51 105.43 183.47
polybench/2mm,polly_parallel,alone,0,10,0,0.2176,0.208018503,14.51 105.43 183.47
polybench/2mm,polly_parallel,unpinned,-1,1,0,0.223,0.208707548,14.51 105.43 183.47
polybench/2mm,polly_parallel,unpinned,-1,2,0,0.2248,0.207897033,14.51 105.43 183.47
polybench/2mm,polly_parallel,unpinned,-1,3,0,0.222,0.207986282,14.51 105.43 183.47
polybench/2mm,polly_parallel,unpinned,-1,4,0,0.2225,0.208308275,14.46 103.92 182.56
polybench/2mm,polly_parallel,unpinned,-1,5,0,0.2243,0.209504642,14.46 103.92 182.56
polybench/2mm,polly_parallel,unpinned,-1,6,0,0.2266,0.210223487,14.46 103.92 182.56
polybench/2mm,polly_parallel,unpinned,-1,7,0,0.2241,0.209971785,14.46 103.92 182.56
polybench/2mm,polly_parallel,unpinned,-1,8,0,0.2243,0.209432292,14.46 103.92 182.56
polybench/2mm,polly_parallel,unpinned,-1,9,0,0.2245,0.208500875,14.46 103.92 182.56
polybench/2mm,polly_parallel,unpinned,-1,10,0,0.2227,0.209379482,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,1,0,,0.210472509,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,2,0,,0.209684523,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,3,0,,0.211156073,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,4,0,,0.212369131,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,5,0,,0.211156742,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,6,0,,0.211820148,14.46 103.92 182.56
polybench/2mm,polly_parallel,4_lanes,0,7,0,,0.212839644,14.46 103.92 182.56
