kernel,size,runs,timed_out,kernel_s_median,program_s_median,kernel_share
burkardt/md,SMALL,3,False,0.151635313,0.1615602809470147,0.938568020005674
burkardt/md,STANDARD,3,False,1.51615559,1.5493132548872381,0.9785984759488479
rodinia-3.1/pathfinder,SMALL,3,False,0.000328832,0.009425794007256627,0.0348863978723535
rodinia-3.1/pathfinder,STANDARD,3,False,0.007867893,0.1467710800934583,0.053606561967044344
rodinia-3.1/pathfinder,LARGE,3,False,0.080691679,1.4456704079639167,0.055816096501308504
rodinia-3.1/pathfinder,EXTRALARGE,3,False,0.316287055,5.7435347128193825,0.05506836309251471
rodinia-3.1/nw,SMALL,3,False,0.01323936,0.024018572876229882,0.5512134325475436
rodinia-3.1/nw,STANDARD,3,False,0.240244136,0.375898509984836,0.6391196815589708
rodinia-3.1/nw,LARGE,3,False,1.014967264,1.5320378260221332,0.6624949115227243
rodinia-3.1/hotspot,SMALL,3,False,0.013520082,0.016559093026444316,0.816474789918076
rodinia-3.1/hotspot,STANDARD,3,False,0.30836417,0.3141898000612855,0.9814582457477958
rodinia-3.1/hotspot,LARGE,3,False,2.813373433,2.83522439096123,0.9922930410619735
npb/is,SMALL,3,False,0.011176856,0.07346996106207371,0.15212824177975046
npb/is,STANDARD,3,False,0.106547746,0.5967980050481856,0.17853234276712657
npb/is,LARGE,3,False,0.440030227,2.4014957160688937,0.1832317351455881
npb/is,EXTRALARGE,3,False,0.107280741,0.5977178011089563,0.1794839317165394
npb/mg,SMALL,3,False,0.050658985,0.19366058893501759,0.2615864450200475
npb/mg,STANDARD,3,False,0.452535262,1.5920506119728088,0.28424678122464675
npb/mg,LARGE,3,False,2.051967644,3.1935857080388814,0.6425278140601628
npb/lu,SMALL,3,False,0.007521081,2.266642495058477,0.0033181593552564026
npb/lu,STANDARD,3,False,0.062319874,15.625741887837648,0.003988282569066809
npb/lu,LARGE,3,False,0.273022069,68.77122010895982,0.003970004728248662
npb/lu,EXTRALARGE,3,False,0.062430755,15.684998019132763,0.003980284531999695
polybench/lu,SMALL,3,False,0.000749555,0.0021118351723998785,0.35493063558942883
polybench/lu,STANDARD,3,False,0.135751013,0.14002142194658518,0.969501745609938
polybench/lu,LARGE,3,False,1.057061009,1.070414770161733,0.987524685258486
